,DAA
2021-02-23,164.13449050019986
2021-02-24,164.93538615279982
2021-02-25,161.1938996665998
2021-02-26,161.32098877659982
2021-03-01,162.4852297785998
2021-03-02,161.95650296459982
2021-03-03,161.04795045259982
2021-03-04,159.2713495825998
2021-03-05,160.33271287659983
2021-03-08,158.85239159259982
2021-03-09,160.60887561259983
2021-03-10,161.39178417659983
2021-03-11,163.24677224059982
2021-03-12,161.61532231659984
2021-03-15,161.93011651859982
2021-03-16,161.4094960365998
2021-03-17,161.3058290765998
2021-03-18,158.0044874645998
2021-03-19,158.6408031385998
2021-03-22,158.8833194145998
2021-03-23,157.36779317259982
2021-03-24,157.04796847059984
2021-03-25,156.76586097259985
2021-03-26,158.05947032859982
2021-03-29,156.64736898859982
2021-03-30,156.75529985259982
2021-03-31,156.93462912659982
2021-04-01,158.75795844189977
2021-04-05,157.89888913959982
2021-04-06,159.01394669889976
2021-04-07,158.5498693894998
2021-04-08,159.3668217371998
2021-04-09,158.8834736483998
2021-04-12,158.69837104319978
2021-04-13,159.67784740099978
2021-04-14,160.34740772109978
2021-04-15,162.03908479429978
2021-04-16,161.67695178079978
2021-04-19,161.39126474049976
2021-04-20,161.50103505989975
2021-04-21,162.16782078989976
2021-04-22,162.17479377759977
2021-04-23,162.86493505909976
2021-04-26,163.32258086009972
2021-04-27,162.95373013089971
2021-04-28,163.28450450379967
2021-04-29,163.3423285400997
2021-04-30,163.26647371309969
2021-05-03,163.5476994655997
2021-05-04,163.6468672113997
2021-05-05,163.4550663515997
2021-05-06,163.7785193767997
2021-05-07,164.63692021819972
2021-05-10,163.4937480822997
2021-05-11,163.1052807458997
2021-05-12,160.8137499370997
2021-05-13,161.3673164033997
2021-05-14,162.75942215809968
2021-05-17,163.04038364909968
2021-05-18,162.73760964889968
2021-05-19,161.3423729158997
2021-05-20,162.1355865020997
2021-05-21,162.44993641219966
2021-05-24,163.52248288339965
2021-05-25,163.82283482389965
2021-05-26,164.31576798809965
2021-05-27,164.59782805279966
2021-05-28,164.74099678019965
2021-06-01,165.24380206599966
2021-06-02,165.76665495419965
2021-06-03,164.39418095879967
2021-06-04,166.17236402859965
2021-06-07,166.09209934179964
2021-06-08,166.5424567189996
2021-06-09,167.1459411597996
2021-06-10,167.9322851657996
2021-06-11,167.45614678019965
2021-06-14,166.74390129519963
2021-06-15,166.69081463319964
2021-06-16,164.92350777359965
2021-06-17,163.66451413459964
2021-06-18,164.03514624159968
2021-06-21,164.35990705359967
2021-06-22,164.40963465739964
2021-06-23,164.07777739039966
2021-06-24,164.28680461159965
2021-06-25,164.0927683855996
2021-06-28,164.3720271039996
2021-06-29,164.2171088375996
2021-06-30,164.74391743719963
2021-07-01,165.3526258911996
2021-07-02,165.7156013587996
2021-07-06,164.45093727479957
2021-07-07,164.22312671279963
2021-07-08,163.0837058855996
2021-07-09,165.4325971111996
2021-07-12,165.95294481199963
2021-07-13,165.24840516279963
2021-07-14,165.01613445919963
2021-07-15,164.43508505799963
2021-07-16,163.51135005239962
2021-07-19,160.46299819479967
2021-07-20,162.95102544879964
2021-07-21,164.7225986459996
2021-07-22,164.67780877999957
2021-07-23,165.27674967759955
2021-07-26,165.10258928079958
2021-07-27,163.83347373159958
2021-07-28,165.0624452643996
2021-07-29,165.9278126599996
2021-07-30,165.21361951799958
2021-08-02,165.10045770399958
2021-08-03,165.06291854999955
2021-08-04,164.69052939799957
2021-08-05,164.7607153279996
2021-08-06,163.45214610099958
2021-08-09,162.4281728519996
2021-08-10,162.19530570299958
2021-08-11,162.81370275299955
2021-08-12,162.79229460399955
2021-08-13,163.8737326149996
2021-08-16,164.11011289999962
2021-08-17,163.5878531389996
2021-08-18,162.6280061449996
2021-08-19,162.64924236599958
2021-08-20,162.4654039989996
2021-08-23,163.94325236499958
2021-08-24,163.87963705099958
2021-08-25,163.42548171099963
2021-08-26,163.11606997899963
2021-08-27,164.52238613099965
2021-08-30,165.45969453899966
2021-08-31,164.85859222799968
2021-09-01,165.66951839779966
2021-09-02,166.56258089799965
2021-09-03,166.37762896239965
2021-09-07,165.34911433629966
2021-09-08,164.98050137719963
2021-09-09,163.91243535169963
2021-09-10,163.08800295929962
2021-09-13,163.74684869639964
2021-09-14,163.10020829919966
2021-09-15,164.43793391679964
2021-09-16,164.31643606749967
2021-09-17,162.80581780569963
2021-09-20,159.80265506269967
2021-09-21,160.11104193089963
2021-09-22,162.07136387789967
2021-09-23,163.7706733133997
2021-09-24,163.0474165155997
2021-09-27,163.2365333737997
2021-09-28,160.44995707379968
2021-09-29,160.33699001179966
2021-09-30,159.27953816269968
2021-10-01,159.26512016269967
2021-10-04,159.2507021626997
2021-10-05,159.26512016269967
2021-10-06,159.26512016269967
2021-10-07,159.27953816269968
2021-10-08,159.27953816269968
2021-10-11,159.26512016269967
2021-10-12,159.27953816269968
2021-10-13,159.27953816269968
2021-10-14,159.27953816269968
2021-10-15,159.2507021626997
2021-10-18,159.2507021626997
2021-10-19,159.2507021626997
2021-10-20,159.26512016269967
2021-10-21,159.2507021626997
2021-10-22,159.26512016269967
2021-10-25,159.2507021626997
2021-10-26,159.26512016269967
2021-10-27,159.26512016269967
2021-10-28,159.26512016269967
2021-10-29,159.2362841626997
2021-11-01,159.32349061929966
2021-11-02,159.98016064229967
2021-11-03,159.4621791903997
2021-11-04,160.40412208879968
2021-11-05,161.79520803379967
2021-11-08,161.20736214609968
2021-11-09,161.85669387779967
2021-11-10,159.56104310069966
2021-11-11,159.01216368849967
2021-11-12,159.94066751199966
2021-11-15,159.35544694969965
2021-11-16,159.46130761509968
2021-11-17,159.63304670759965
2021-11-18,160.19083502509963
2021-11-19,160.36279702309963
2021-11-22,159.06939056309966
2021-11-23,158.74377079869967
2021-11-24,159.34030652149968
2021-11-26,157.97289949569966
2021-11-29,159.06557453939965
2021-11-30,158.37757507289965
2021-12-01,158.83669507289963
2021-12-02,158.42348707289966
2021-12-03,159.75493507289966
2021-12-06,157.98732307289964
2021-12-07,157.45933507289965
2021-12-08,155.89832707289963
2021-12-09,156.42631507289963
2021-12-10,157.00021507289964
2021-12-13,158.76782707289962
2021-12-14,157.91845507289966
2021-12-15,158.03323507289966
2021-12-16,157.96436707289968
2021-12-17,159.11216707289967
2021-12-20,158.37757507289965
2021-12-21,157.87254307289965
